word,ico,fun,POS,logletterfreq,UnTrn,NSyll,NPhon,diff_rank
party,1.9230769230000002,3.0333333330000003,Noun,-2.8964300724801286,P.AA.R.T.IY,2,5,19
pop,4.07692307692308,3.2941176469999998,Interjection,-3.2519156789464008,NA,NA,NA,20
wet,2.25,3.0588235289999997,Adjective,-2.573956466621511,W.EH.T,1,3,19
bleep,3.928571428571431,2.9318181819999998,Noun,-2.746375315423878,B.L.IY.P,1,4,19
dump,2.9375,3.09375,Verb,-3.580025049201854,D.AH.M.P,1,4,20
rip,3.736842105,2.827586207,Verb,-2.9482127575860146,R.IH.P,1,3,19
cheer,2.8,2.75862069,Verb,-2.560061323388761,CH.IH.R,1,3,19
bang,3.8333333333333295,2.84375,Verb,-3.025676149927063,B.AE.NG,1,3,19
squeeze,2.53846153846154,3.344827586,Verb,-2.7241795830320936,S.K.W.IY.Z,1,5,20
whip,3.1,2.857142857,Verb,-3.207070779418438,HH.W.IH.P,1,4,19
boom,3.84615384615385,2.829268293,Noun,-3.0433481274956544,B.UW.M,1,3,19
prick,2.64285714285714,3.325,Noun,-3.233989462678249,P.R.IH.K,1,4,20
bounce,2.64285714285714,3.03030303,Verb,-2.8652889775287016,B.AW.N.S,1,4,20
echo,2.8,2.766666667,Noun,-2.6703932099251113,NA,NA,NA,19
splash,3.5,2.76,Noun,-2.892874888114283,S.P.L.AE.SH,1,5,19
sniff,3.3636363636363598,2.903225806,Verb,-2.9724064482504944,S.N.IH.F,1,4,19
slick,2.06666666666667,3.166666667,Noun,-3.11271562903981,S.L.IH.K,1,4,19
thud,3.38461538461538,3.0810810810000002,Noun,-2.9734816646191713,TH.AH.D,1,3,20
zoom,3.6,3.043478261,Verb,-3.124702654850951,Z.UW.M,1,3,20
tummy,2,3.258064516,Noun,-3.302257433807252,T.AH.M.IY,2,4,19
limp,3,2.8,Noun,-3.2101638842661795,L.IH.M.P,1,4,19
tickle,2.142857143,3.3023255810000003,Verb,-2.7982484690203586,T.IH.K.AH.L,2,5,19
tang,2.69230769230769,3.172413793,Noun,-2.7049300737659667,NA,NA,NA,20
ping,3.6363636363636402,2.875,Noun,-3.065082351688784,NA,NA,NA,19
flick,2.6153846153846203,3.166666667,Noun,-3.3416085902504977,F.L.IH.K,1,4,20
peep,2.9,3.027027027,Noun,-2.6471903128454475,P.IY.P,1,3,20
crunch,3.78571428571429,2.857142857,Noun,-3.0841992548763213,K.R.AH.N.CH,1,5,19
cuckoo,2.9,3.743589744,Noun,-3.188104166201447,K.AH.K.UW,2,4,20
buzzer,4.09090909090909,2.833333333,Noun,-3.2644835583463334,B.AH.Z.ER,2,4,19
flap,2.76923076923077,3.071428571,Noun,-3.1576631407002114,F.L.AE.P,1,4,20
slime,3.2,2.8,Noun,-2.7211354406508654,S.L.AY.M,1,4,19
sparkle,2,3.0625,Noun,-2.842398253633289,S.P.AA.R.K.AH.L,2,7,19
clamp,2.81818181818182,2.75,Verb,-3.193208078119623,K.L.AE.M.P,1,5,19
flop,3.14285714285714,3.03125,Noun,-3.2232604231860247,F.L.AA.P,1,4,20
whiff,2.9166666666666696,3.5,Noun,-3.297919032208654,HH.W.IH.F,1,4,20
whine,2.6666666666666696,2.833333333,Verb,-2.7063516444666287,HH.W.AY.N,1,4,19
wiggle,2.6,3.523809524,Verb,-3.007467529772412,W.IH.G.AH.L,2,5,20
giggle,3,3.3913043480000002,Verb,-2.9987367825742894,G.IH.G.AH.L,2,5,20
mush,3.07692307692308,2.939393939,Verb,-3.164150925178954,M.AH.SH,1,3,19
jingle,2.76923076923077,3.2,Noun,-2.8967923256990873,JH.IH.NG.G.AH.L,2,6,20
snore,2.76923076923077,2.9629629630000003,Verb,-2.5307411861317997,S.N.AO.R,1,4,19
squeak,4.23076923076923,3.230769231,Verb,-2.9639106612310346,S.K.W.IY.K,1,5,20
trot,2.1,3.076923077,Verb,-2.535778980161757,T.R.AA.T,1,4,19
snort,2.78571428571429,3.741935484,Noun,-2.613467558616262,S.N.AO.R.T,1,5,20
whirl,3.81818181818182,2.911764706,Noun,-3.0094256006859936,HH.W.ER.L,1,4,19
bubbly,2.81818181818182,3.3529411760000003,Adjective,-3.8009289579225594,B.AH.B.AH.L.IY,3,6,20
moo,3.882352941,3.7,Noun,-2.8432973505102357,NA,NA,NA,20
fluff,3.21428571428571,3.7241379310000013,Noun,-3.6171170878870456,F.L.AH.F,1,4,20
heave,3.28571428571429,2.7560975610000003,Verb,-2.556961346739354,NA,NA,NA,19
murmur,3.8333333333333295,2.8125,Noun,-3.2579632135762475,M.ER.M.ER,2,4,19
coo,2.5,3.551724138,Noun,-2.807870536384421,K.UW,1,2,19
babble,3.5384615384615397,3.1612903230000002,Verb,-3.0071303185063605,B.AE.B.AH.L,2,5,20
swirl,2.6363636363636402,3.193548387,Noun,-2.9401083698059938,S.W.ER.L,1,4,20
wobble,2.4,3.1538461539999996,Verb,-3.036207106119709,W.AA.B.AH.L,2,5,19
tingle,2.3333333333333304,3.314285714,Noun,-2.663076835459479,T.IH.NG.G.AH.L,2,6,19
tinkle,3,3.9629629630000003,Noun,-2.694147295933219,T.IH.NG.K.AH.L,2,6,20
squawk,3.4615384615384603,3.4186046510000003,Verb,-3.366795954944823,S.K.W.AO.K,1,5,20
clang,3.85714285714286,3.2,Noun,-2.9885580698059906,K.L.AE.NG,1,4,20
sludge,3.7,2.875,Noun,-2.9412440882699213,S.L.AH.JH,1,4,19
jiggle,2.5833333333333304,3.64516129,Verb,-3.0632975930497572,JH.IH.G.AH.L,2,5,20
yahoo,2.76923076923077,3.6896551719999997,Noun,-2.807760045251222,NA,NA,NA,20
ooze,3,3.233333333,Verb,-2.690087500728038,UW.Z,1,2,20
ramble,2.1666666666666696,3.107142857,Verb,-2.832480279480387,R.AE.M.B.AH.L,2,6,19
drizzle,2.7,2.961538462,Noun,-3.0229566598088624,D.R.IH.Z.AH.L,2,6,19
smooch,3.6,3.333333333,Verb,-2.921243421563252,NA,NA,NA,20
chirp,4.142857142857141,3,Verb,-3.0428238810878416,CH.ER.P,1,3,20
scuttle,2.7,3,Verb,-2.706052198439537,S.K.AH.T.AH.L,2,6,20
juggler,2.6,3.4,Noun,-3.159260115193846,JH.AH.G.AH.L.ER,3,6,20
scurry,2.92307692307692,2.967741935,Verb,-3.1029463578611405,S.K.ER.IY,2,4,19
zigzag,4.3,3.1136363639999995,Noun,-3.387294476493164,Z.IH.G.Z.AE.G,2,6,20
purr,3.5384615384615397,2.8,Noun,-3.1344197933278846,P.ER,1,2,19
snarl,3.38461538461538,2.75,Noun,-2.7184036131817013,S.N.AA.R.L,1,5,19
gush,3.2727272727272703,3.029411765,Verb,-3.1905313518590583,G.AH.SH,1,3,20
slush,3.25,2.888888889,Noun,-2.983408523865159,S.L.AH.SH,1,4,19
clunk,3.928571428571431,3.344827586,Noun,-3.3225710612069657,K.L.AH.NG.K,1,5,20
yodel,2.9,3.4411764710000003,Noun,-2.8346343532116633,Y.OW.D.AH.L,2,5,20
waddle,3.1,4.045454545,Verb,-2.8580013778657136,W.AA.D.AH.L,2,5,20
slobber,2.3,3.5172413789999997,Noun,-2.861201380596385,S.L.AA.B.ER,2,5,19
prance,2,3.307692308,Noun,-2.7236715820051667,P.R.AE.N.S,1,5,19
oink,3.61538461538462,3.8717948719999997,Verb,-2.865581589088946,NA,NA,NA,20
